Variable,Tipo
ESTU_CONSECUTIVO,col_character()
PERS_GENERO,col_character()
PERS_FECHANACIMIENTO,col_date("%d/%m/%y")
PERS_ETNIA,col_integer()
DISC_COGNITIVA,col_character()
DISC_CONDICION_ESPECIAL,col_character()
DIS_MOTRIZ,col_character()
DISC_INVIDENTE,col_character()
DISC_SORDO,col_character()
DISC_SDOWN,col_character()
DISC_AUTISMO,col_character()
COD_MUNI_RESIDE,col_integer()
MUNI_RESIDE,col_character()
DEPA_RESIDE,col_character()
ZONA_RESIDE,col_integer()
FINS_TIPOUBICACION,col_character()
CODIGO_ICFES,col_integer()
NOMBRE_SEDE,col_character()
CODIGO_DANE,col_character()
JORNADA,col_character()
FINS_VALORMENSUALPENSION,col_integer()
FINS_REPETICIONEXAMEN,col_integer()
COD_MUNI_APLI,col_integer()
MUNI_APLI,col_character()
DEPA_APLI,col_character()
FINS_NIVELEDUCATIVOPADRE,col_integer()
FINS_NIVELEDUCATIVOMADRE,col_integer()
FINS_OCUPACIONPADRE,col_integer()
FINS_OCUPACIONMADRE,col_integer()
FINS_ESTRATOVIVIENDAENERGIA,col_integer()
FINS_SISBEN,col_integer()
FINS_PERSONASHOGARACTUAL,col_integer()
FINS_CUARTOSHOGARACTUAL,col_integer()
FINS_PISOSHOGAR,col_integer()
FINS_TIENETELEFONOFIJO,col_character()
FINS_TIENETELEFONOCELULAR,col_character()
FINS_TIENEINTERNET,col_character()
FINS_TIENETELEVISION,col_character()
FINS_TIENECOMPUTADOR,col_character()
FINS_TIENEDVD,col_character()
FINS_TIENELAVADORAROPA,col_character()
FINS_TIENEHORNOMICROONDAS,col_character()
FINS_TIENENEVERA,col_character()
FINS_TIENEAUTOMOVILPARTICULAR,col_character()
FINS_TIENEHORNOELECTRICOGAS,col_character()
FINS_INGRESOMENSUALHOGAR,col_integer()
FINS_TRABAJAACTUALMENTE,col_integer()
FINS_SALARIOPORTRABAJO,col_character()
EVAL_PUESTO,col_integer()
LENGUAJE_PUNT,col_euro_double()
MATEMATICA_PUNT,col_integer()
CIENCIAS_SOCIALES_PUNT,col_euro_double()
FILOSOFIA_PUNT,col_euro_double()
BIOLOGIA_PUNT,col_euro_double()
QUIMICA_PUNT,col_euro_double()
FISICA_PUNT,col_euro_double()
INGLES_PUNT,col_euro_double()
INGLES_DESEM,col_character()
PRUE_NOMBRE,col_character()
COMP_FLEX_PUNT,col_euro_double()
COMP_FLEX_DESEM,col_character()
